"value","mu","group"
0.430538165602006,"-5","Naive (I=500)"
0.143485785849354,"-5","BIT (I=500)"
0.446442805955817,"-5","Naive (I=1000)"
0.146903051104894,"-5","BIT (I=1000)"
0.442877149385655,"-5","Naive (I=1500)"
0.145435266691728,"-5","BIT (I=1500)"
0.435476247080495,"-4.5","Naive (I=500)"
0.145274248716036,"-4.5","BIT (I=500)"
0.43117320789305,"-4.5","Naive (I=1000)"
0.145649278559267,"-4.5","BIT (I=1000)"
0.43796956933717,"-4.5","Naive (I=1500)"
0.145332729895209,"-4.5","BIT (I=1500)"
0.438486376172527,"-4","Naive (I=500)"
0.147741037325879,"-4","BIT (I=500)"
0.42732256717554,"-4","Naive (I=1000)"
0.14338836143805,"-4","BIT (I=1000)"
0.433726919325804,"-4","Naive (I=1500)"
0.144036684342861,"-4","BIT (I=1500)"
0.431767011397817,"-3.5","Naive (I=500)"
0.144576743681648,"-3.5","BIT (I=500)"
0.428668564312884,"-3.5","Naive (I=1000)"
0.144387952031464,"-3.5","BIT (I=1000)"
0.437084332273661,"-3.5","Naive (I=1500)"
0.145290278474876,"-3.5","BIT (I=1500)"
0.428592558390447,"-3","Naive (I=500)"
0.143718064649566,"-3","BIT (I=500)"
0.429735156888574,"-3","Naive (I=1000)"
0.146108455601302,"-3","BIT (I=1000)"
0.425153020898329,"-3","Naive (I=1500)"
0.144395119017597,"-3","BIT (I=1500)"
0.430473206665491,"-2.5","Naive (I=500)"
0.146976426772653,"-2.5","BIT (I=500)"
0.432490523885624,"-2.5","Naive (I=1000)"
0.145915193176874,"-2.5","BIT (I=1000)"
0.428672386964174,"-2.5","Naive (I=1500)"
0.143423944882584,"-2.5","BIT (I=1500)"
